,name,sqft,sqm,psf,location,amenities,amenities_count,price
24,General Industrial in Link @ AMK,2153,200.02,705,Thomson (D20),[],0,1518000
25,Retail in Maplewoods,495,45.99,2788,Upper Bukit Timah (D21),[],0,1380000
26,Shophouse in 828 Tampines Street 81,1657,153.94,2293,Tampines (D18),[],0,3800000
27,Shophouse in 102 Dunlop Street,2000,185.81,4000,Serangoon Rd (D8),"['Grease trap', 'Bath room', 'Column free', '24 hr access', 'Kitchen']",5,8000000
28,Office in Woods Square,560,52.03,2018,Woodlands (D25),"['Handicap friendly', 'Security access', 'Reception services', 'Pantry', '24 hr access', 'Meeting rooms', 'Air conditioning']",7,1130000
29,General Industrial in Proxima@Gambas,1840,170.94,217,Yishun (D27),[],0,400000
30,Retail in Club Street,2374,220.55,5265,Marina (D1),"['Air conditioning', 'Pantry', 'Kitchen']",3,12500000
31,Shophouse in Blair Plain Conservation Area,1728,160.54,3067,Commonwealth (D3),[],0,5300000
32,Warehouse in In Space,2454,227.98,709,Sengkang (D19),[],0,1739000
33,Factory in Mandai Connection,1689,156.91,284,Woodlands (D25),"['Loading bay', 'Column free', '24 hr access', 'Car park']",4,480000
34,Office in Woods Square,560,52.03,2113,Woodlands (D25),[],0,1183060
35,Factory in T-Space,2196,204.01,355,Tampines (D18),[],0,780000
36,Office in Tripleone Somerset,431,40.04,3000,River Valley (D9),"['Air conditioning', 'Cctv', '24 hr access']",3,1293000
37,Retail in Suites @ Katong,463,43.01,3629,Marine Parade (D15),[],0,1680000
38,Factory in Premier @ Kaki Bukit,1501,139.45,599,Paya Lebar (D14),"['Bath room', 'Column free', '24 hr access', 'Large floor plate']",4,899000
39,Office in Sunshine Plaza,850,78.97,1706,Rochor (D7),[],0,1450000
40,Retail in Sim Lim Tower,378,35.12,3175,Serangoon Rd (D8),"['Loading bay', 'Security access', 'Car park', 'Cat 5/6 cabling', '24 hr access', 'Column free', '450 lux lighting']",7,1200000
41,Land with Building in Lorong G Telok Kurau,5735,532.8,1099,Marine Parade (D15),[],0,6299999
42,Factory in Citrine Foodland,3584,332.96,1040,Sengkang (D19),"['Loading bay', 'Handicap friendly', 'Security access', 'Grease trap', 'Car park', '24 hr access', 'Large floor plate', 'Meeting rooms']",8,3729000
43,Office in Suntec City Towers,1367,127,3284,Marina (D1),"['Loading bay', 'Air conditioning', 'Cctv', 'Car park']",4,4488888
44,Office in One North Bridge / High Street Centre,635,58.99,2047,Clarke Quay (D6),[],0,1300000
45,Factory in Pioneer Junction,1507,140,239,Tuas (D22),[],0,360000
46,Retail in Pavilion Square,108,10.03,8407,Paya Lebar (D14),['Air conditioning'],1,908000
47,Factory in Ark @ KB,2433,226.03,365,Paya Lebar (D14),"['Bath room', '24 hr access', 'Car park']",3,888000
48,Retail in D'leedon,1200,111.48,2417,Holland (D10),[],0,2900000
49,Retail in Tripleone Somerset,926,86.03,2578,River Valley (D9),"['Air conditioning', 'Cctv', 'Car park']",3,2387279
50,Retail in The Flow,775,72,2568,Marine Parade (D15),"['Air conditioning', 'Car park']",2,1990000
51,Retail in 183 Longhaus,1141,106,3833,Thomson (D20),"['Air conditioning', 'Cctv']",2,4373214
52,Retail in Trio,366,34,3283,Serangoon Rd (D8),"['Security access', 'Air conditioning', 'Cctv']",3,1201620
53,Office in Woods Square,560,52.03,1884,Woodlands (D25),[],0,1055000
54,General Industrial in Nordcom Two,1668,154.96,314,Yishun (D27),[],0,524000
55,General Industrial in CT FoodChain,3520,327.02,694,Clementi (D5),"['Cctv', '24 hr access', 'Car park']",3,2442491
56,Retail in Hexacube,560,52.03,2671,Paya Lebar (D14),"['Air conditioning', 'Cctv']",2,1496000
57,Shophouse in Plus,581,53.98,3402,Marina (D1),['Cctv'],1,1976796
58,Retail in City Gate,506,47.01,2817,Rochor (D7),"['Reception services', 'Cctv']",2,1425280
59,General Industrial in Novelty Techpoint,2982,277.04,628,Sengkang (D19),"['Loading bay', 'Cctv', '24 hr access', 'Car park']",4,1871321
60,Retail in Beauty World Centre,400,37.16,4000,Upper Bukit Timah (D21),"['Cctv', 'Car park']",2,1600000
61,Retail in Far East Plaza,409,38,8068,River Valley (D9),"['Air conditioning', 'Cctv', 'Car park']",3,3300000
62,Shophouse in 407 Race Course Road,4507,418.71,1393,Serangoon Rd (D8),"['Bath room', 'Handicap friendly', 'Broadband', 'Grease trap', 'Loading bay', 'Pantry', 'Car park', 'Cat 5/6 cabling']",8,6280000
63,Factory in Food Concept @ Pandan,2034,188.96,1961,Clementi (D5),"['Grease trap', 'Water trap', 'Loading bay', '24 hr access']",4,3988009
64,Retail in Sim Lim Tower,700,65.03,4571,Serangoon Rd (D8),[],0,3200000
65,Retail in Royal Square At Novena,570,52.95,4561,Toa Payoh (D12),"['Backup generator', 'Air conditioning', 'Car park', '24 hr access']",4,2600000
66,Shophouse in Royal Square At Novena,355,32.98,6310,Toa Payoh (D12),"['Air conditioning', '24 hr access']",2,2240000
67,Retail in Royal Square At Novena,355,32.98,6327,Toa Payoh (D12),[],0,2246000
68,Retail in The Flow,775,72,2530,Marine Parade (D15),"['Air conditioning', 'Security access']",2,1961000
69,Retail in Lucky Plaza,624,57.97,3846,River Valley (D9),"['Air conditioning', 'Cctv', 'Car park', 'Large floor plate', 'Raised floor']",5,2400000
70,Retail in Lucky Plaza,1400,130.06,4100,River Valley (D9),"['Air conditioning', '24 hr access', 'Pantry']",3,5740000
71,Shophouse in Tiong Bahru Estate,1517,140.93,2030,Commonwealth (D3),[],0,3080000
72,Warehouse in 18 Tuas View Loop,6355,590.4,291,Tuas (D22),"['Loading bay', 'Column free', 'Chilled water supply', 'Car park', '24 hr access', 'Server room', 'Meeting rooms', 'Security access']",8,1850000
73,Retail in Oxley Tower,183,17,5355,Marina (D1),[],0,980000
74,Factory in T-Space,1636,151.99,397,Tampines (D18),[],0,650000
75,Retail in East Village,108,10.03,7407,Upper East Coast (D16),"['Security access', 'Air conditioning', 'Cctv', 'Car park', '24 hr access']",5,800000
76,Retail in KAP,344,31.96,5799,Upper Bukit Timah (D21),"['Air conditioning', 'Cctv', '24 hr access', 'Car park']",4,1995000
77,General Industrial in Tagore Lane,5100,473.81,1284,Upper Thomson (D26),[],0,6550000
78,Office in The Modules,474,44.04,2004,Marine Parade (D15),[],0,950000
79,Industrial Office in T-Space,2422,225.01,310,Tampines (D18),[],0,750000
80,Retail in Hexacube,904,83.98,2919,Paya Lebar (D14),[],0,2639000
81,Retail in Aspen Heights,355,32.98,2507,River Valley (D9),"['Air conditioning', 'Water trap', '24 hr access', 'Car park']",4,890000
82,Factory in The Commerze @ Irving,1066,99.03,657,Potong Pasir (D13),['Air conditioning'],1,700000
83,Retail in One Dusun Residences,226,21,4425,Toa Payoh (D12),[],0,1000000
84,Retail in One Dusun Residences,247,22.95,6680,Toa Payoh (D12),[],0,1650000
85,Office in Oxley Bizhub 2,1023,95.04,733,Paya Lebar (D14),[],0,750000
86,Retail in One Dusun Residences,226,21,4204,Toa Payoh (D12),[],0,950000
87,Shophouse in Tanjong Pagar Conservation Area,3900,362.32,3333,Tanjong Pagar (D2),[],0,13000000
88,Shophouse in 138 Telok Ayer Street,1170,108.7,16239,Marina (D1),[],0,19000000
89,Retail in Telok Ayer Street,1170,108.7,16923,Marina (D1),[],0,19800000
90,Retail in Tanjong Pagar Conservation Area,1350,125.42,10222,Tanjong Pagar (D2),[],0,13800000
91,Shophouse in Telok Ayer Conservation Area,10500,975.48,4571,Marina (D1),[],0,48000000
92,Office in Sunshine Plaza,708,65.78,2048,Rochor (D7),['Air conditioning'],1,1450000
93,Factory in Kim Chuan Terrace,3014,280.01,1154,Sengkang (D19),[],0,3477000
94,Factory in HDB-Woodlands,7600,706.06,421,Woodlands (D25),"['Bath room', 'Handicap friendly', 'Column free', 'Cctv', 'Car park', 'Pantry', '24 hr access', 'Meeting rooms']",8,3200000
95,Factory in Vertex,3336,309.92,567,Paya Lebar (D14),[],0,1891200
96,General Industrial in Link @ AMK,2153,200.02,548,Thomson (D20),"['Handicap friendly', 'Column free', 'Car park', 'Pantry', '24 hr access', 'Air conditioning']",6,1180000
97,Retail in Jalan Kayu Estate,2800,260.13,2468,Yio Chu Kang (D28),[],0,6909997
98,Office in Arc 380,700,65.03,2571,Serangoon Rd (D8),"['Bath room', 'Column free']",2,1800000
99,Office in Centrium Square,614,57.04,2899,Serangoon Rd (D8),[],0,1780000
100,Office in Arc 380,753,69.96,2656,Serangoon Rd (D8),"['Bath room', 'Column free']",2,2000000
101,General Industrial in Shun Li Industrial Park,2336,217.02,410,Paya Lebar (D14),"['Bath room', '24 hr access', 'Car park']",3,958000
102,Warehouse in Admiralty Industrial Park,1302,120.96,288,Yishun (D27),[],0,375000
103,General Industrial in 18 Kim Chuan Terrace,2099,195,1730,Sengkang (D19),"['Turnstile', 'Bath room', 'Car park']",3,3631000
104,General Industrial in 18 Kim Chuan Terrace,3014,280.01,1154,Sengkang (D19),"['Bath room', 'Loading bay', '24 hr access', 'Car park']",4,3477000
105,Retail in The Bencoolen,226,21,5257,Rochor (D7),"['Air conditioning', 'Car park', '24 hr access']",3,1188000
106,Retail in Spazio @ Kovan,248,23.04,4024,Sengkang (D19),"['Pantry', 'Svc/smatv system', 'Column free', 'Car park', 'Large floor plate']",5,998000
107,Office in Vision Exchange,764,70.98,2330,Tuas (D22),[],0,1780000
108,Office in Vision Exchange,840,78.04,2286,Tuas (D22),[],0,1920000
109,Warehouse in Pioneer Point,1066,99.03,300,Tuas (D22),[],0,319800
110,Factory in North Spring Bizhub,3583,332.87,1027,Yishun (D27),[],0,3680000
111,Factory in Synergy @ KB,1829,169.92,431,Paya Lebar (D14),"['Bath room', 'Handicap friendly', 'Column free', 'Cctv', 'Car park', 'Cat 5/6 cabling', '24 hr access', 'Air conditioning']",8,788000
112,Factory in North Spring Bizhub,4600,427.35,554,Yishun (D27),"['Bath room', 'Handicap friendly', 'Column free', 'Cctv', 'Car park', '24 hr access', 'Large floor plate', 'Air conditioning']",8,2550000
113,Retail in 201B Tampines Street 21,1981,184.04,2243,Tampines (D18),[],0,4444000
114,Factory in Biztech Centre,947,87.98,1080,Paya Lebar (D14),[],0,1022760
115,General Industrial in Food Concept @ Pandan,2034,188.96,1912,Clementi (D5),"['24 hr access', 'Car park']",2,3888000
116,General Industrial in Space 21,2433,226.03,820,Paya Lebar (D14),['24 hr access'],1,1995000
117,General Industrial in 17 Joo Koon Way,100638,"9,349.57",129,Tuas (D22),"['Loading bay', 'Security access', 'Broadband', 'Cctv', 'Bath room', 'Pantry', 'Car park', '24 hr access']",8,13000000
118,Retail in The Midtown,968,89.93,3810,Sengkang (D19),"['Air conditioning', 'Bath room']",2,3688000
119,Retail in Far East Plaza,161,14.96,4584,River Valley (D9),[],0,738000
120,General Industrial in Lee Kai House,3800,353.03,1579,Rochor (D7),[],0,6000000
121,Warehouse in The Westcom,3068,285.03,453,Tuas (D22),[],0,1388888
122,Office in Vision Exchange,517,48.03,2321,Tuas (D22),[],0,1200000
123,Retail in Oxley Tower,291,27.03,4467,Marina (D1),[],0,1300000
124,Factory in 14 Kaki Bukit View,18000,"1,672.25",366,Paya Lebar (D14),[],0,6580000
125,Warehouse in Oxley Bizhub,1378,128.02,718,Paya Lebar (D14),['Air conditioning'],1,988888
126,Warehouse in Chubb Singapore Pte Ltd,36823,"3,420.97",84,Toa Payoh (D12),"['Broadband', 'Cctv', 'Pantry', '24 hr access', 'Server room', 'Air conditioning']",6,3090000
127,Warehouse in 29 Tuas Avenue 11,123913,"11,511.89",127,Tuas (D22),"['Loading bay', 'Car park', 'Raised floor', '24 hr access', 'Large floor plate', 'Meeting rooms', 'Backup generator', 'Air conditioning']",8,15700000
128,Factory in One Commonwealth,753,69.96,714,Commonwealth (D3),[],0,538000
129,Office in The Central,635,58.99,2756,Marina (D1),"['Air conditioning', 'Column free', '24 hr access', 'Pantry', 'Car park']",5,1750000
130,Industrial Office in The Crescent @ Kallang,947,87.98,663,Potong Pasir (D13),"['Bath room', 'Column free', 'Cctv', 'Loading bay', 'Car park', 'Av equipment', '24 hr access', 'Air conditioning']",8,628000
131,Industrial Office in City Warehouse,4725,438.97,190,Paya Lebar (D14),[],0,900000
132,Retail in The Flow,904,83.98,7917,Marine Parade (D15),[],0,7157000
133,Office in Bylands Building,1323,122.91,1723,Rochor (D7),"['Bath room', 'Air conditioning', 'Water trap', '24 hr access']",4,2280000
134,Warehouse in Oxley Bizhub,947,87.98,621,Paya Lebar (D14),[],0,588000
135,General Industrial in Oxley Bizhub,1894,175.96,627,Paya Lebar (D14),"['Air conditioning', 'Loading bay', 'Car park', 'Meeting rooms']",4,1188000
136,Retail in King Albert Park,743,69.03,4711,Upper Bukit Timah (D21),"['Air conditioning', 'Cctv', 'Large floor plate', 'Dual power']",4,3500000
137,Office in Centropod @ Changi,614,57.04,2000,Paya Lebar (D14),[],0,1228000
138,Factory in E-Centre @ Redhill,4025,373.93,601,Commonwealth (D3),"['Bath room', 'Car park', 'Pantry', '24 hr access', 'Server room', 'Air conditioning']",6,2420000
139,General Industrial in Space 21,1701,158.03,3527,Paya Lebar (D14),['24 hr access'],1,6000000
140,Factory in 6 Tuas Link 2,14124,"1,312.16",170,Tuas (D22),[],0,2400000
141,Shophouse in Serangoon Garden Estate,4903,455.5,1183,Sengkang (D19),"['Loading bay', 'Handicap friendly', 'Large floor plate', 'Broadband', 'Reception services', 'Car park', '24 hr access', 'Server room']",8,5800000
142,Factory in Northland Industrial Building 1,1649,153.2,266,Yishun (D27),[],0,438000
143,Factory in Zervex,1130,104.98,611,Paya Lebar (D14),[],0,690000
144,Factory in Zervex,1948,180.98,590,Paya Lebar (D14),[],0,1150000
145,Retail in City Gate,409,38,3423,Rochor (D7),[],0,1400000
146,Factory in Midview Building,1755,163.04,358,Choa Chu Kang (D23),[],0,628000
147,Retail in Katong Shopping Centre,334,31.03,2898,Marine Parade (D15),[],0,968000
148,Shophouse in Toa Payoh Central,1237,114.92,3638,Toa Payoh (D12),['Air conditioning'],1,4500000
149,General Industrial in Primz Bizhub,2293,213.03,624,Woodlands (D25),"['Air conditioning', 'Security access', '24 hr access', 'Car park']",4,1430000
150,Shophouse in Sims Vista,1324,123,1208,Paya Lebar (D14),"['Air conditioning', '24 hr access', 'Kitchen']",3,1600000
151,Factory in Entrepreneur Business Centre,3003,278.99,316,Paya Lebar (D14),"['Air conditioning', '24 hr access', 'Pantry', 'Car park']",4,950000
152,Office in Kembangan Court,603,56.02,1990,Paya Lebar (D14),[],0,1200000
153,Office in CT Hub,1066,99.03,875,Toa Payoh (D12),"['Cctv', 'Car park', 'Pantry', '24 hr access', 'Videoconferencing', 'Meeting rooms', 'Air conditioning']",7,933000
154,Shophouse in Telok Ayer Conservation Area,2885,268.03,3813,Marina (D1),[],0,11000000
155,Retail in Binjai Park,1270,117.99,3386,Upper Bukit Timah (D21),[],0,4300000
156,Shophouse in 31 Lorong 11 Geylang,1587,147.44,1379,Paya Lebar (D14),"['Water trap', '24 hr access', 'Pantry']",3,2188888
157,Land with Building in Race Course Road,2630,244.33,4753,Serangoon Rd (D8),[],0,12500000
158,Office in Woods Square,560,52.03,1786,Woodlands (D25),"['Column free', 'Broadband', 'Cctv', 'Car park', '24 hr access', 'Security access', 'Air conditioning']",7,1000000
159,Retail in Textile Centre,870,80.83,1063,Rochor (D7),"['Air conditioning', '24 hr access', 'Car park']",3,925000
160,Office in Plus,517,48.03,2901,Marina (D1),"['Column free', 'Air conditioning', 'Cctv', '24 hr access', 'Car park']",5,1500000
161,General Industrial in Mapex,1636,151.99,1420,Thomson (D20),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,2323120
162,General Industrial in Mapex,1647,153.01,1420,Thomson (D20),"['Bath room', 'Column free', '24 hr access', 'Car park']",4,2338740
163,General Industrial in Mapex,1636,151.99,1420,Thomson (D20),"['Column free', 'Bath room', 'Loading bay', '24 hr access', 'Car park']",5,2323120
164,General Industrial in Mapex,1647,153.01,1420,Thomson (D20),"['Column free', 'Bath room', 'Loading bay', '24 hr access', 'Car park']",5,2338740
165,General Industrial in Mapex,1647,153.01,1420,Thomson (D20),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,2338740
166,General Industrial in Mapex,1658,154.03,1420,Thomson (D20),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,2354360
167,Retail in HDB-Jurong East,1615,150.04,1115,Tuas (D22),[],0,1800000
168,Office in Arc 380,700,65.03,2600,Serangoon Rd (D8),[],0,1820000
169,Factory in Synergy @ KB,1636,151.99,366,Paya Lebar (D14),"['24 hr access', 'Car park']",2,598000
170,Retail in JadeScape,495,45.99,3200,Thomson (D20),[],0,1584000
171,Factory in First East Centre,16400,"1,523.61",220,Paya Lebar (D14),"['Air conditioning', '24 hr access']",2,3600000
172,General Industrial in Techniques Centre,1302,120.96,490,Paya Lebar (D14),['24 hr access'],1,638000
173,Retail in 304 Ubi Avenue 1,1720,159.79,1384,Paya Lebar (D14),[],0,2380000
174,Factory in 8B @ Admiralty,1754,162.95,336,Yishun (D27),"['Loading bay', 'Bath room', 'Column free', '24 hr access', 'Car park']",5,590000
175,Office in The Mezzo,969,90.02,1536,Toa Payoh (D12),"['Air conditioning', '24 hr access', 'Pantry']",3,1488000
176,Factory in Kaki Bukit Crescent,16125,"1,498.06",389,Paya Lebar (D14),"['Bath room', 'Car park', '24 hr access', 'Large floor plate', 'Meeting rooms', 'Backup generator', 'Air conditioning']",7,6280000
177,Shophouse in Space @ Kovan,1130,104.98,2743,Sengkang (D19),"['Bath room', 'Column free', 'Grease trap', 'Cctv', 'Car park', '24 hr access', 'Large floor plate', 'Security access']",8,3100000
178,Retail in Stars Of Kovan,441,40.97,5184,Sengkang (D19),"['Loading bay', 'Column free', 'Grease trap', 'Cctv', 'Car park', '24 hr access', 'Water trap']",7,2286000
179,Shophouse in Loft @ Nathan,409,38,2567,Holland (D10),"['Air conditioning', 'Bath room', 'Car park', '24 hr access']",4,1050000
180,Retail in City Gate,431,40.04,3097,Rochor (D7),"['Air conditioning', 'Bath room', 'Cctv', 'Car park', 'Pantry']",5,1335000
181,Office in Vision Exchange,517,48.03,2468,Tuas (D22),"['Bath room', 'Air conditioning']",2,1276000
182,Office in Icon @ Changi,334,31.03,1940,Paya Lebar (D14),"['Air conditioning', 'Car park', 'Pantry']",3,648000
183,Shophouse in Toa Payoh Central,570,52.95,6667,Toa Payoh (D12),"['Air conditioning', 'Bath room', 'Loading bay', 'Car park']",4,3800000
184,Office in International Plaza,937,87.05,2295,Tanjong Pagar (D2),[],0,2150000
185,Office in Eon Shenton,1765,163.97,2776,Tanjong Pagar (D2),[],0,4900000
186,Shophouse in Millage,226,21,3664,Paya Lebar (D14),[],0,828000
187,General Industrial in Cititech Industrial Building,1323,122.91,892,Paya Lebar (D14),"['Loading bay', '24 hr access', 'Car park']",3,1180000
188,Retail in Riverfront Residences,603,56.02,2785,Sengkang (D19),"['Air conditioning', 'Bath room', 'Column free', '24 hr access']",4,1679400
189,Factory in Ispace,1744,162.02,315,Tuas (D22),"['Bath room', 'Loading bay', '24 hr access', 'Car park']",4,550000
190,Retail in Mandarin Gardens,2368,219.99,1385,Marine Parade (D15),[],0,3280000
191,Retail in One Dusun Residences,215,19.97,4140,Toa Payoh (D12),[],0,890000
192,Office in 465 North Bridge Road,570,52.95,1154,Rochor (D7),['Air conditioning'],1,658000
193,General Industrial in Ubi Techpark,2312,214.79,514,Paya Lebar (D14),"['Car park', 'Meeting rooms']",2,1188000
194,Retail in Le Regal,108,10.03,4519,Paya Lebar (D14),[],0,488000
195,Warehouse in Mega @ Woodlands,1711,158.96,321,Woodlands (D25),['24 hr access'],1,550000
196,Shophouse in 531 Bedok North Street 3,1808,167.97,1023,Upper East Coast (D16),[],0,1850000
197,Retail in Oxley Tower,194,18.02,5670,Marina (D1),['Column free'],1,1100000
198,Retail in The Flow,775,72,2530,Marine Parade (D15),[],0,1961000
199,Retail in HDB-Kallang/Whampoa,1300,120.77,923,Serangoon Rd (D8),[],0,1200000
200,Retail in Singapore Business Federation Center,710,65.96,3380,Marina (D1),"['Air conditioning', 'Car park']",2,2400000
201,Shophouse in 16 Kim Keat Road,5000,464.51,1500,Toa Payoh (D12),[],0,7500000
202,Retail in People's Park Centre,335,31.12,3284,Marina (D1),"['Air conditioning', 'Car park']",2,1100000
203,Shophouse in Sun Plaza Green,1970,183.02,2200,Tampines (D18),[],0,4334000
204,Factory in Senoko Industrial Estate,90000,"8,361.27",183,Yishun (D27),"['Air conditioning', '24 hr access', 'Large floor plate', 'Car park']",4,16500000
205,Office in Woods Square,36000,"3,344.51",2222,Woodlands (D25),['Air conditioning'],1,80000000
206,Factory in Mega @ Woodlands,1713,159.14,321,Woodlands (D25),[],0,550000
207,Shophouse in 531 Bedok North Street 3,1808,167.97,1023,Upper East Coast (D16),[],0,1850000
208,Office in North View Bizhub,3939,365.94,279,Yishun (D27),"['Bath room', 'Security access', 'Broadband', 'Cctv', 'Car park', 'Pantry', '24 hr access', 'Server room']",8,1099999
209,Land with Building in Changi North Street 2,40268,"3,741.02",268,Changi Village (D17),"['Loading bay', 'Own generator', 'Security access', 'Large floor plate', 'Broadband', 'Cctv', 'Car park', 'Pantry']",8,10800000
210,Retail in Queensway Shopping Centre/Queensway Tower,118,10.96,4661,Commonwealth (D3),[],0,550000
211,Office in Hexacube,840,78.04,1932,Paya Lebar (D14),[],0,1623000
212,Retail in The Flow,775,72,2977,Marine Parade (D15),[],0,2307000
213,Retail in Stars Of Kovan,441,40.97,5556,Sengkang (D19),"['Grease trap', 'Water trap', 'Air conditioning', 'Own generator', 'Car park']",5,2450000
214,General Industrial in Synergy @ KB,1463,135.92,396,Paya Lebar (D14),"['Bath room', 'Loading bay', '24 hr access', 'Car park']",4,580000
215,Retail in Centropod @ Changi,183,17,2596,Paya Lebar (D14),[],0,475000
216,Factory in T99,8310,772.02,193,Tuas (D22),[],0,1600000
217,Factory in Wcega Tower,1173,108.98,529,Choa Chu Kang (D23),[],0,620000
218,Factory in Wcega Tower,1970,183.02,411,Choa Chu Kang (D23),[],0,808888
219,Factory in Citrine Foodland,1787,166.02,1729,Sengkang (D19),"['Loading bay', 'Grease trap', 'Car park', '24 hr access', 'Large floor plate', 'Air conditioning', 'Water trap']",7,3090000
220,Shophouse in 1953,786,73.02,3501,Serangoon Rd (D8),[],0,2752000
221,Retail in The Promenade @ Pelikat,398,36.98,3392,Sengkang (D19),[],0,1350000
222,Shophouse in Holland Village,1840,170.94,7609,Holland (D10),[],0,14000000
223,Shophouse in Teo Hong Road,1474,136.94,5427,Tanjong Pagar (D2),[],0,8000000
224,Shophouse in Bukit Pasoh Conservation Area,1108,102.94,3159,Tanjong Pagar (D2),[],0,3500000
225,Retail in Orchard Plaza,215,19.97,3023,River Valley (D9),[],0,650000
226,Retail in Sim Lim Square,312,28.99,2628,Rochor (D7),[],0,820000
227,Shophouse in Toa Payoh Central,1345,124.95,4833,Toa Payoh (D12),[],0,6500000
228,Retail in People's Park Complex,1493,138.7,5300,Marina (D1),[],0,7912900
229,Office in Oxley Tower,1163,108.05,3516,Marina (D1),[],0,4088888
230,Retail in The Promenade @ Pelikat,151,14.03,2848,Sengkang (D19),[],0,430000
231,Industrial Office in Central-Link,1410,130.99,440,Commonwealth (D3),"['Air conditioning', 'Column free', 'Car park']",3,620000
232,Retail in Peninsula Plaza,16038,"1,489.98",3679,Clarke Quay (D6),[],0,59000000
233,General Industrial in Paya Ubi Industrial Park,5300,492.39,283,Paya Lebar (D14),"['Air conditioning', 'Car park', 'Pantry', 'Meeting rooms']",4,1500000
234,Retail in Oxley Tower,150,13.94,6333,Marina (D1),['Air conditioning'],1,950000
235,Factory in Eunos Technolink,5300,492.39,208,Paya Lebar (D14),[],0,1100000
236,Shophouse in 189 Syed Alwi Road,960,89.19,4771,Serangoon Rd (D8),"['Car park', '24 hr access']",2,4580000
237,Factory in CT FoodChain,3509,326,641,Clementi (D5),[],0,2250000
238,Factory in North Spring Bizhub,1507,140,544,Yishun (D27),[],0,820000
239,Retail in Katong Shopping Centre,334,31.03,2898,Marine Parade (D15),[],0,968000
240,Shophouse in The Beo Crescent,1500,139.35,1787,Commonwealth (D3),"['Air conditioning', 'Bath room', '24 hr access', 'Pantry', 'Car park']",5,2680000
241,Shophouse in 477 Tampines Street 43,1334,123.93,1724,Tampines (D18),[],0,2300000
242,Office in Suntec City Towers,10097,938.04,3704,Marina (D1),[],0,37400000
243,Office in Suntec City Towers,6168,573.03,2999,Marina (D1),[],0,18500000
244,Shophouse in 45 Bussorah Street,1250,116.13,6800,Rochor (D7),[],0,8500000
245,Factory in Loyang Enterprise Building,10700,994.06,271,Changi Village (D17),[],0,2900000
246,Factory in Eunos Technolink,2787,258.92,429,Paya Lebar (D14),[],0,1197000
247,General Industrial in Tradehub 21,150,13.94,7,Tuas (D22),"['Air conditioning', 'Car park']",2,1100
248,Office in North Bridge Centre,527,48.96,5,Rochor (D7),[],0,2372
249,Retail in 1 Engku Aman Turn,1550,144,5,Paya Lebar (D14),[],0,6975
250,Retail in Aspen Heights,355,32.98,2501,River Valley (D9),"['Air conditioning', 'Water trap']",2,888000
